ITER	CANDIDATE	VOTES
1	STAPLES Adrienne	7581
1	BORREN Pim	5628
1	MOORE Richard L	3254
2	STAPLES Adrienne	8703
2	BORREN Pim	6784
2	MOORE Richard L	0
