CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
DAY Jill	elected	1	3404	0	3064.500000001	0.801134469
SPARROW Malcolm	elected	7	2997.286284898	785.921920994	2868.019519752	1
CONDIE Jenny	elected	7	2900.155487507	785.921920994	2868.019519752	1
GILBERD Peter	excluded	7	2258.74073941	785.921920994	2868.019519752	0
APANOWICZ John	excluded	6	1943.657103124	356.346337788	2975.413415554	0
SAWYER Graeme	excluded	4	866.28199182	202.187307878	3013.953173031	0
PETERS John	excluded	3	518.876844048	80.120608772	3044.469847808	0
HURST-PORTER Tracy	excluded	2	420.248971765	31.31697997	3056.670755008	0
