CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
BROOKS Cynthia	elected	1	1,052.000000000	0.000000000	998.250000001	0.724160779
HOPE Gerald	elected	4	971.009166637	160.741161191	958.064709703	0.986669069
MAHER Francis	elected	5	960.995908367	163.736514972	957.315871258	1.000000000
ADAMS Scott	excluded	5	947.037779007	163.736514972	957.315871258	0.000000000
ARBUCKLE Sally	excluded	2	547.963165225	38.729800315	988.567549922	0.000000000
VINK Philip	excluded	1	338.000000000	0.000000000	998.250000001	0.000000000
