CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
BROWN Mark	elected	1	339	0	232.714285715	0.491965303
MAYHEM-BULLOCK Mandy	elected	1	337	0	232.714285715	0.476140004
MORRISON Alasdair	elected	1	238	0	232.714285715	0.603883458
BARRATT Andy	elected	2	260.553887423	23.644622216	229.336482541	0.644747271
TAIT Geraldine	elected	7	237.691380865	78.353479031	221.520931568	0.870089357
BILLYARD Sonya	elected	10	220.677341497	96.825829821	218.882024312	1
STRINGER-WRIGHT Rose	excluded	10	201.454376275	96.825829821	218.882024312	0
PARKER Rafferty	excluded	5	139.936693533	42.672386082	226.61823056	0
