CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
POPE Paul	elected	1	917	0	284.714285715	0.261612854
KELLAS Lox	elected	1	302	0	284.714285715	0.548166879
LANGSBURY Hoani	elected	2	429.900185856	61.228098412	275.967414513	0.532310991
STEVENSON Edna	elected	3	272.640321321	101.428972859	270.224432449	0.883122965
NEILL Cheryl	elected	4	274.795692384	113.432532652	268.509638193	0.91910983
MCARTHUR Graham	elected	8	267.263321808	129.6206303	266.197052815	1
CLUTHA Jane	excluded	8	258.513173677	129.6206303	266.197052815	0
