ITER  CANDIDATE  VOTES
14  GOODHEW Jo  2596.547821057
14  SMALL Bruce  2595.488490134
14  CRAWFORD Rene  1886.469568499
14  DE JOUX Raeleen  1677.492304678
14  GILCHRIST Barbara  1601.275156915
14  HARREX Sue  1279.62136788
14  CALLANDER Sam  1217.49475099
14  BOORER Michael  0
14  LIGTENBERG Gerrie  0
14  MOHOAO Kari (AJ)  0
15  ANNEAR Paul  2590.746021354
15  BINNS Peter  2589.111785496
15  LUXTON Ron  2588.670189753
15  GOODHEW Jo  2588.290044688
15  SMALL Bruce  2587.759509906
15  CRAWFORD Rene  1896.632572554
15  DE JOUX Raeleen  1686.315680256
15  GILCHRIST Barbara  1607.504715539
15  HARREX Sue  1286.144325581
15  CALLANDER Sam  1222.201383052
15  BOORER Michael  0
15  LIGTENBERG Gerrie  0
15  MOHOAO Kari (AJ)  0
16  ANNEAR Paul  2701.608299004
16  GOODHEW Jo  2679.903254567
16  SMALL Bruce  2671.055544604
16  LUXTON Ron  2647.72326114
16  BINNS Peter  2646.874649714
16  CRAWFORD Rene  2123.618669322
16  DE JOUX Raeleen  1849.485297888
16  GILCHRIST Barbara  1770.393104353
16  HARREX Sue  1376.266052709
16  BOORER Michael  0
16  CALLANDER Sam  0
16  LIGTENBERG Gerrie  0
16  MOHOAO Kari (AJ)  0
17  ANNEAR Paul  2618.83568777
17  BINNS Peter  2612.563082275
17  LUXTON Ron  2609.581610786
17  GOODHEW Jo  2602.72145635
17  SMALL Bruce  2599.45110582
17  CRAWFORD Rene  2201.920515826
17  DE JOUX Raeleen  1915.791485522
17  GILCHRIST Barbara  1819.305876454
17  HARREX Sue  1424.699261315
17  BOORER Michael  0
17  CALLANDER Sam  0
17  LIGTENBERG Gerrie  0
17  MOHOAO Kari (AJ)  0
18  LUXTON Ron  2705.343133506
18  SMALL Bruce  2692.635031033
18  ANNEAR Paul  2691.883669779
18  BINNS Peter  2690.619093163
18  GOODHEW Jo  2673.044916113
18  CRAWFORD Rene  2458.421339238
18  DE JOUX Raeleen  2174.14264049
18  GILCHRIST Barbara  2068.047756082
18  BOORER Michael  0
18  CALLANDER Sam  0
18  HARREX Sue  0
18  LIGTENBERG Gerrie  0
18  MOHOAO Kari (AJ)  0
19  ANNEAR Paul  2615.881188851
19  BINNS Peter  2597.354941269
19  CRAWFORD Rene  2596.829400426
19  LUXTON Ron  2595.558426593
19  GOODHEW Jo  2587.817963012
19  SMALL Bruce  2585.105140584
19  DE JOUX Raeleen  2296.102330237
19  GILCHRIST Barbara  2158.36010577
19  BOORER Michael  0
19  CALLANDER Sam  0
19  HARREX Sue  0
19  LIGTENBERG Gerrie  0
19  MOHOAO Kari (AJ)  0
20  CRAWFORD Rene  2578.285684722
20  ANNEAR Paul  2560.894317091
20  LUXTON Ron  2552.819660837
20  BINNS Peter  2550.664007435
20  GOODHEW Jo  2548.378756586
20  SMALL Bruce  2547.632995582
20  DE JOUX Raeleen  2384.281469872
20  GILCHRIST Barbara  2223.468975169
20  BOORER Michael  0
20  CALLANDER Sam  0
20  HARREX Sue  0
20  LIGTENBERG Gerrie  0
20  MOHOAO Kari (AJ)  0
21  CRAWFORD Rene  2539.39177811
21  ANNEAR Paul  2531.457416738
21  LUXTON Ron  2525.906814895
21  BINNS Peter  2524.183715501
21  GOODHEW Jo  2523.005893252
21  SMALL Bruce  2522.6871788
21  DE JOUX Raeleen  2447.599330832
21  GILCHRIST Barbara  2270.173130891
21  BOORER Michael  0
21  CALLANDER Sam  0
21  HARREX Sue  0
21  LIGTENBERG Gerrie  0
21  MOHOAO Kari (AJ)  0
22  CRAWFORD Rene  2516.370887134
22  ANNEAR Paul  2510.666135313
22  LUXTON Ron  2507.12495392
22  BINNS Peter  2506.019023596
22  GOODHEW Jo  2505.091248178
22  SMALL Bruce  2504.954135947
22  DE JOUX Raeleen  2490.406627541
22  GILCHRIST Barbara  2301.599858664
22  BOORER Michael  0
22  CALLANDER Sam  0
22  HARREX Sue  0
22  LIGTENBERG Gerrie  0
22  MOHOAO Kari (AJ)  0
