CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
PANNETT Iona	elected	1	3220	0	2533.250000001	0.720368225
YOUNG Nicola Mary Jacobina	elected	1	2565	0	2533.250000001	0.890464114
PAUL Tamatha	elected	6	2770.079452036	356.293183339	2444.176704166	1
DAWSON Brian	excluded	6	1757.640939617	356.293183339	2444.176704166	0
NG Shan	excluded	5	669.782456275	187.890852909	2486.277286773	0
ORCHARD Lee	excluded	4	560.519353415	129.277866392	2500.930533403	0
SMITH Harry	excluded	2	290.09873617	53.392078196	2519.901980452	0
