ITER	CANDIDATE	VOTES
9	HUGHES Glenda	4196
9	MITIKULENA Alvin	3953
9	FISO John	3814
9	HOLBOROW Janet	3263
9	MARSH Simon (Swampy)	3189
9	APANOWICZ John	3017
9	GRICE Stephen	2077
9	CLARK Marion	0
9	CLARK Nathan	0
9	ISA Letitia	0
9	NG Shan	0
9	O'DWYER Letitia	0
9	PETERS John	0
9	SHAND David	0
9	TURNER Susan	0
10	KEDGLEY Sue	9552
10	KALDERIMIS Chris	9076
10	ADAMS Kathryn	8289
10	VERRALL Ayesha	7639
10	COFFEY 'Ana	7218
10	BLAKELEY Roger	6392
10	BROWN Eileen	5611
10	SIMPSON Vanessa	4629
10	HUGHES Glenda	4345
10	MITIKULENA Alvin	4068
10	FISO John	4049
10	HOLBOROW Janet	3440
10	MARSH Simon (Swampy)	3287
10	APANOWICZ John	3088
10	CLARK Marion	0
10	CLARK Nathan	0
10	GRICE Stephen	0
10	ISA Letitia	0
10	NG Shan	0
10	O'DWYER Letitia	0
10	PETERS John	0
10	SHAND David	0
10	TURNER Susan	0
11	KEDGLEY Sue	9665
11	KALDERIMIS Chris	9329
11	ADAMS Kathryn	8738
11	VERRALL Ayesha	7744
11	COFFEY 'Ana	7425
11	BLAKELEY Roger	6806
11	BROWN Eileen	5732
11	HUGHES Glenda	4873
11	SIMPSON Vanessa	4756
11	FISO John	4203
11	MITIKULENA Alvin	4142
11	HOLBOROW Janet	3540
11	MARSH Simon (Swampy)	3464
11	APANOWICZ John	0
11	CLARK Marion	0
11	CLARK Nathan	0
11	GRICE Stephen	0
11	ISA Letitia	0
11	NG Shan	0
11	O'DWYER Letitia	0
11	PETERS John	0
11	SHAND David	0
11	TURNER Susan	0
12	KEDGLEY Sue	10035
12	KALDERIMIS Chris	9686
12	ADAMS Kathryn	8921
12	VERRALL Ayesha	7910
12	COFFEY 'Ana	7715
12	BLAKELEY Roger	7095
12	BROWN Eileen	5855
12	HUGHES Glenda	5232
12	SIMPSON Vanessa	5044
12	FISO John	4354
12	MITIKULENA Alvin	4296
12	HOLBOROW Janet	3680
12	APANOWICZ John	0
12	CLARK Marion	0
12	CLARK Nathan	0
12	GRICE Stephen	0
12	ISA Letitia	0
12	MARSH Simon (Swampy)	0
12	NG Shan	0
12	O'DWYER Letitia	0
12	PETERS John	0
12	SHAND David	0
12	TURNER Susan	0
13	KEDGLEY Sue	10528.721323325
13	KALDERIMIS Chris	10013.06639175
13	ADAMS Kathryn	9267.707759525
13	VERRALL Ayesha	8072.850060925
13	COFFEY 'Ana	8020.15747295
13	BLAKELEY Roger	7431.984789525
13	BROWN Eileen	6054.11761195
13	HUGHES Glenda	5529.831102975
13	SIMPSON Vanessa	5425.67740345
13	FISO John	4516.929782925
13	MITIKULENA Alvin	4475.671710875
13	APANOWICZ John	0
13	CLARK Marion	0
13	CLARK Nathan	0
13	GRICE Stephen	0
13	HOLBOROW Janet	0
13	ISA Letitia	0
13	MARSH Simon (Swampy)	0
13	NG Shan	0
13	O'DWYER Letitia	0
13	PETERS John	0
13	SHAND David	0
13	TURNER Susan	0
14	KALDERIMIS Chris	9968.004025984
14	KEDGLEY Sue	9928.714587828
14	ADAMS Kathryn	9324.318044548
14	VERRALL Ayesha	8161.238846374
14	COFFEY 'Ana	8077.974539612
14	BLAKELEY Roger	7511.934678886
14	BROWN Eileen	6139.947813828
14	HUGHES Glenda	5581.414751836
14	SIMPSON Vanessa	5472.817290762
14	FISO John	4541.619803004
14	MITIKULENA Alvin	4521.231011204
14	APANOWICZ John	0
14	CLARK Marion	0
14	CLARK Nathan	0
14	GRICE Stephen	0
14	HOLBOROW Janet	0
14	ISA Letitia	0
14	MARSH Simon (Swampy)	0
14	NG Shan	0
14	O'DWYER Letitia	0
14	PETERS John	0
14	SHAND David	0
14	TURNER Susan	0
15	KEDGLEY Sue	9911.387152545
15	KALDERIMIS Chris	9905.722349204
15	ADAMS Kathryn	9332.176933855
15	VERRALL Ayesha	8170.334040274
15	COFFEY 'Ana	8083.782370485
15	BLAKELEY Roger	7520.899974914
15	BROWN Eileen	6145.635137139
15	HUGHES Glenda	5591.494107478
15	SIMPSON Vanessa	5480.90770963
15	FISO John	4545.83228884
15	MITIKULENA Alvin	4528.303309364
15	APANOWICZ John	0
15	CLARK Marion	0
15	CLARK Nathan	0
15	GRICE Stephen	0
15	HOLBOROW Janet	0
15	ISA Letitia	0
15	MARSH Simon (Swampy)	0
15	NG Shan	0
15	O'DWYER Letitia	0
15	PETERS John	0
15	SHAND David	0
15	TURNER Susan	0
16	KALDERIMIS Chris	10319.574294848
16	KEDGLEY Sue	10282.930318687
16	ADAMS Kathryn	9783.818544542
16	VERRALL Ayesha	8819.541131012
16	COFFEY 'Ana	8553.8696336
16	BLAKELEY Roger	7710.661462137
16	BROWN Eileen	6353.322143941
16	SIMPSON Vanessa	6033.060941612
16	HUGHES Glenda	5753.543746215
16	FISO John	5172.172158707
16	APANOWICZ John	0
16	CLARK Marion	0
16	CLARK Nathan	0
16	GRICE Stephen	0
16	HOLBOROW Janet	0
16	ISA Letitia	0
16	MARSH Simon (Swampy)	0
16	MITIKULENA Alvin	0
16	NG Shan	0
16	O'DWYER Letitia	0
16	PETERS John	0
16	SHAND David	0
16	TURNER Susan	0
17	KEDGLEY Sue	9903.840900326
17	KALDERIMIS Chris	9883.956088994
17	ADAMS Kathryn	9868.372980228
17	VERRALL Ayesha	8932.860737602
17	COFFEY 'Ana	8624.49079643
17	BLAKELEY Roger	7808.441648
17	BROWN Eileen	6431.888421544
17	SIMPSON Vanessa	6122.19051507
17	HUGHES Glenda	5845.927010022
17	FISO John	5219.016024594
17	APANOWICZ John	0
17	CLARK Marion	0
17	CLARK Nathan	0
17	GRICE Stephen	0
17	HOLBOROW Janet	0
17	ISA Letitia	0
17	MARSH Simon (Swampy)	0
17	MITIKULENA Alvin	0
17	NG Shan	0
17	O'DWYER Letitia	0
17	PETERS John	0
17	SHAND David	0
17	TURNER Susan	0
18	KALDERIMIS Chris	10383.72256199
18	ADAMS Kathryn	10263.47629369
18	KEDGLEY Sue	10228.228909534
18	COFFEY 'Ana	9618.888439822
18	VERRALL Ayesha	9410.244810534
18	BLAKELEY Roger	8238.911829546
18	BROWN Eileen	6761.925676328
18	SIMPSON Vanessa	6522.403923204
18	HUGHES Glenda	6356.405068608
18	APANOWICZ John	0
18	CLARK Marion	0
18	CLARK Nathan	0
18	FISO John	0
18	GRICE Stephen	0
18	HOLBOROW Janet	0
18	ISA Letitia	0
18	MARSH Simon (Swampy)	0
18	MITIKULENA Alvin	0
18	NG Shan	0
18	O'DWYER Letitia	0
18	PETERS John	0
18	SHAND David	0
18	TURNER Susan	0
19	ADAMS Kathryn	9831.839275368
19	KEDGLEY Sue	9827.922035597
19	KALDERIMIS Chris	9807.0471499
