CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
MANOHARAN NADARAJAH	elected	8	5936.0	616.0	5704.750000001	0.700546902
NAYLOR KAREN	elected	9	5900.33301015	939.51726738	5664.310341578	0.712011932
BROAD ADRIAN	elected	9	5670.42558101	939.51726738	5664.310341578	0.779313292
ROBSON BARBARA	elected	13	5553.088033679	2503.83212528	5468.770984341	0.886299132
CHAPMAN ANN	elected	13	5517.117025366	2503.83212528	5468.770984341	0.886153492
ANDERSON DIANE	elected	14	5589.491456025	2748.067384919	5438.241576886	0.920095937
FEYEN MICHAEL	elected	18	5361.843019017	3368.371796521	5360.703525435	1.0
FINDLAY LEW	excluded	18	4971.075051462	3368.371796521	5360.703525435	0.0
BURNELL LINDSAY	excluded	12	3987.686030101	1825.507937408	5553.561507825	0.0
WARDS SHARON	excluded	9	3162.11539748	939.51726738	5664.310341578	0.0
DENNISON VAUGHAN	excluded	8	2447.0	616.0	5704.750000001	0.0
GIMBLETT NEVILLE	excluded	7	2001.0	424.0	5728.750000001	0.0
WALDON JOHN	excluded	6	1582.0	322.0	5741.500000001	0.0
MCCANN DUNCAN	excluded	5	1138.0	206.0	5756.000000001	0.0
PODD ANNE	excluded	4	812.0	144.0	5763.750000001	0.0
WETH JOHN	excluded	3	743.0	123.0	5766.375000001	0.0
BRANNIGAN MAREE	excluded	2	657.0	71.0	5772.875000001	0.0
EGAN MARTIN	excluded	1	600.0	0.0	5781.750000001	0.0
