CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Lester Justin	elected	7	31,921.000000000	8,434.000000000	28,309.000000000	1.000000000
Leggett Nick	excluded	7	24,697.000000000	8,434.000000000	28,309.000000000	0.000000000
Coughlan Jo	excluded	6	15,844.000000000	2,867.000000000	31,093.000000000	0.000000000
Young Nicola	excluded	5	5,532.000000000	1,314.000000000	31,869.000000000	0.000000000
Foster Andy	excluded	4	3,718.000000000	730.000000000	32,161.000000000	0.000000000
Ritchie Helene	excluded	3	2,733.000000000	269.000000000	32,392.000000000	0.000000000
Johnson Keith	excluded	2	1,190.000000000	88.000000000	32,482.000000000	0.000000000
Overton Johnny	excluded	1	620.000000000	0.000000000	32,526.000000000	0.000000000
