CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Eagle Paul	elected	1	4,785.000000000	0.000000000	2,869.000000001	0.599582028
Lee David	elected	2	3,229.787877220	451.271054444	2,718.576315186	1.000000000
Bonner Brendon	excluded	2	1,269.690281156	451.271054444	2,718.576315186	0.000000000
Pierson Brent	excluded	2	619.594774952	451.271054444	2,718.576315186	0.000000000
McDonald Don Newt	excluded	2	167.656008248	451.271054444	2,718.576315186	0.000000000
